created_at,tweet_text,location,name,clean_Tweet_NoPunct,clean_Tweet_NoPunctNoStop,clean_Tweet_NoPunctNoStopNoNumber,mapped_country
09-04-20 2:11,RT @aartipole: #breaking Toronto Caribbean Carnival is Cancelled due to the pandemic. The Board of Directors of the Festival Management Com…,Toronto,Diane Campbell,breaking toronto caribbean carnival is cancelled due to the pandemic  the board of directors of the festival management com…,breaking toronto caribbean carnival cancelled due pandemic board directors festival management com…,breaking toronto caribbean carnival cancelled due pandemic board directors festival management, Canada
09-04-20 2:11,"RT @farmgeek: Only 29 new Covid-19 cases today - the lowest since Level 4 began. I think it's fair to move past quiet optimism and say ""It'…","Auckland, New Zealand",Morgan Avery 🍔,only 29 new covid19 cases today  the lowest since level 4 began  i think it s fair to move past quiet optimism and say  it…,29 new covid19 cases today lowest since level 4 began think fair move past quiet optimism say it…,new cases today lowest since level began think fair move past quiet optimism say, New Zealand
09-04-20 2:11,RT @MarkYoungTruth: Stop building more ventilators. It is now shown that the absolute wrong thing to do for a COVID 19 patients is to use a…,"Tucson, AZ",Mike Boldi,stop building more ventilators  it is now shown that the absolute wrong thing to do for a covid 19 patients is to use a…,stop building ventilators shown absolute wrong thing covid 19 patients use a…,stop building ventilators shown absolute wrong thing covid patients use, United States of America
09-04-20 2:11,"RT @InsaneLabz: As the #Covid19 Pandemic Has Potentiated Demand for Certain Items, We’ve Reallocated Resources &amp; Manufacturing Capabilities…","Greeley, CO",Syn_the_Demon,as the  covid19 pandemic has potentiated demand for certain items  we ’ ve reallocated resources  amp  manufacturing capabilities…,covid19 pandemic potentiated demand certain items ’ reallocated resources amp manufacturing capabilities…,pandemic potentiated demand certain items reallocated resources amp manufacturing, United States of America
09-04-20 2:11,"RT @LtGovStratton: With the 33 additional deaths announced today, we have now lost 307 lives in Illinois to #COVID19.

Their families and c…",,Steve Smith,with the 33 additional deaths announced today  we have now lost 307 lives in illinois to  covid19  their families and c…,33 additional deaths announced today lost 307 lives illinois covid19 families c…,additional deaths announced today lost lives illinois families, Italia
09-04-20 2:11,"RT @UNNTV1: If you love yourself &amp;your family, if you concern about your country, there is what you really need to watch and care.

China p…","Bedford, England",Phil,if you love yourself  amp  your family  if you concern about your country  there is what you really need to watch and care  china p…,love amp family concern country really need watch care china p…,love amp family concern country really need watch care china, United Kingdom
09-04-20 2:11,RT @TrueFactsStated: French Hospital Stops Hydroxychloroquine Treatment for COVID-19 Patient Over Major Cardiac Risk https://t.co/bH1WorMb3j,Brazil,Mauro Paine,french hospital stops hydroxychloroquine treatment for covid19 patient over major cardiac risk https  tcobh1wormb3j,french hospital stops hydroxychloroquine treatment covid19 patient major cardiac risk https tcobh1wormb3j,french hospital stops hydroxychloroquine treatment patient major cardiac risk https,Brasil
09-04-20 2:11,"RT @BillNeelyNBC: New York City’s death toll from #coronavirus- 4,009- is now higher than the terrorist attacks of 9/11. The US had its wor…",,Cindymad,new york city ’ s death toll from  coronavirus 4009 is now higher than the terrorist attacks of 911  the us had its wor…,new york city ’ death toll coronavirus 4009 higher terrorist attacks 911 us wor…,new york city death toll coronavirus higher terrorist attacks us, Italia
09-04-20 2:11,RT @chrisbergPOVNOW: SHOCKING: MN Sen &amp; Dr. @drscottjensen said that he received a 7 pg doc from @mnhealth to fill out death certificates w…,,Vipin Tandon,shocking  mn sen  amp  dr  drscottjensen said that he received a 7 pg doc from  mnhealth to fill out death certificates w…,shocking mn sen amp dr drscottjensen said received 7 pg doc mnhealth fill death certificates w…,shocking mn sen amp dr drscottjensen said received pg doc mnhealth fill death certificates, Italia
09-04-20 2:11,RT @CTVNews: Passengers to be evacuated from cruise ship after majority test positive for COVID-19 https://t.co/Ygyav7CJBQ https://t.co/e9K…,Chicago,Watchman Anderson,passengers to be evacuated from cruise ship after majority test positive for covid19 https  tcoygyav7cjbq https  tcoe9k…,passengers evacuated cruise ship majority test positive covid19 https tcoygyav7cjbq https tcoe9k…,passengers evacuated cruise ship majority test positive https https, United States of America
09-04-20 2:11,RT @AuManufacturing: The Covid-19 pandemic has turned out to be the proof of the benefits of Micro-X’s revolutionary Nano portable X-ray ma…,Sydney,rodin genoff,the covid19 pandemic has turned out to be the proof of the benefits of microx ’ s revolutionary nano portable xray ma…,covid19 pandemic turned proof benefits microx ’ revolutionary nano portable xray ma…,pandemic turned proof benefits microx revolutionary nano portable xray, Australia
09-04-20 2:11,RT @C_BELL88: I'm in big trouble when this #COVID19 is all over and have to start waking up early for work....,,BlackAsia,i m in big trouble when this  covid19 is all over and have to start waking up early for work,big trouble covid19 start waking early work,big trouble start waking early work, Italia
09-04-20 2:11,RT @VFTDLV: Rachel Maddow is on absolute fire tonight. Her takedown on the abysmal failure of the Trump Assministration to respond to COVID…,"Manteca, CA",eydie saunders,rachel maddow is on absolute fire tonight  her takedown on the abysmal failure of the trump assministration to respond to covid…,rachel maddow absolute fire tonight takedown abysmal failure trump assministration respond covid…,rachel maddow absolute fire tonight takedown abysmal failure trump assministration respond, United States of America
09-04-20 2:11,RT @TarekFatah: Indian mullah threatens violence against journalists reporting on the role of #TablighiJamaat in spreading #coronavirus acr…,,praveen 🇮🇳,indian mullah threatens violence against journalists reporting on the role of  tablighijamaat in spreading  coronavirus acr…,indian mullah threatens violence journalists reporting role tablighijamaat spreading coronavirus acr…,indian mullah threatens violence journalists reporting role tablighijamaat spreading coronavirus, Italia
09-04-20 2:11,RT @JessAguirreNBC: College decision day just 3 weeks away but how are u suppose to pick a college if you're isolating at home ? What if yo…,"Del Monte Forest, CA",Pat ‘Double Dare’ fan #88 (18+),college decision day just 3 weeks away but how are u suppose to pick a college if you re isolating at home  what if yo…,college decision day 3 weeks away u suppose pick college isolating home yo…,college decision day weeks away u suppose pick college isolating home, United States of America
09-04-20 2:11,"RT @AnthemRespect: Doctor goes on television to say he has been instructed by his state to list COVID-19 on the death certificate, even if…","Southern Colorado, USA",Diana L. Collins,doctor goes on television to say he has been instructed by his state to list covid19 on the death certificate  even if…,doctor goes television say instructed state list covid19 death certificate even if…,doctor goes television say instructed state list death certificate even, United States of America
09-04-20 2:11,"RT @andipalmur: Over one death a minute from COVID-19 in the United States, if anyone's curious.",,newvoodoo,over one death a minute from covid19 in the united states  if anyone s curious,one death minute covid19 united states anyone curious,one death minute united states anyone curious, Italia
09-04-20 2:11,"RT @RaizaTrillOG: Due to covid-19, we are out of bald","Detroit, MI",KB.,due to covid19  we are out of bald,due covid19 bald,due bald, United States of America
09-04-20 2:11,"RT @stevesilberman: Rest in peace Leilani Jordan, a black grocery clerk with cerebral palsy who kept working during the #coronavirus pandem…","Bend, OR",Lisa Slevin Pierce🗽,rest in peace leilani jordan  a black grocery clerk with cerebral palsy who kept working during the  coronavirus pandem…,rest peace leilani jordan black grocery clerk cerebral palsy kept working coronavirus pandem…,rest peace leilani jordan black grocery clerk cerebral palsy kept working coronavirus, United States of America
09-04-20 2:11,RT @montaga: They’ve been lying about the Cov19 deaths to keep us in the house while they destroy our country and System Enough is enough I…,,AOC's Crazy Eyes,they ’ ve been lying about the cov19 deaths to keep us in the house while they destroy our country and system enough is enough i…,’ lying cov19 deaths keep us house destroy country system enough enough i…,lying deaths keep us house destroy country system enough enough, Italia
09-04-20 2:11,"RT @SecPompeo: During tough times, real friends stick together. The U.S. is thankful to #Taiwan for donating 2 million face masks to suppor…",,Mark Tucker,during tough times  real friends stick together  the us is thankful to  taiwan for donating 2 million face masks to suppor…,tough times real friends stick together us thankful taiwan donating 2 million face masks suppor…,tough times real friends stick together us thankful taiwan donating million face masks, Italia
09-04-20 2:11,"RT @mitchellvii: Fauci thinks #Hydroxychloroquine doesn't work, over-counting COVID-19 deaths is a ""conspiracy theory,"" 2 million will die,…",,Jordan Weber,fauci thinks  hydroxychloroquine does nt work  overcounting covid19 deaths is a  conspiracy theory   2 million will die  …,fauci thinks hydroxychloroquine nt work overcounting covid19 deaths conspiracy theory 2 million die …,fauci thinks hydroxychloroquine nt work overcounting deaths conspiracy theory million die, Italia
09-04-20 2:11,"RT @flwrgardengifts: Smiles will be popping from a distance with this Gnome Door Wreath 😉

#wreath #wreathsofinstagram #gnome #happiness #C…",Aotearoa,sissy,smiles will be popping from a distance with this gnome door wreath 😉  wreath  wreathsofinstagram  gnome  happiness  c…,smiles popping distance gnome door wreath 😉 wreath wreathsofinstagram gnome happiness c…,smiles popping distance gnome door wreath wreath wreathsofinstagram gnome happiness,New Zealand / Aotearoa
09-04-20 2:11,RT @HollyJo71543420: My niece is working as a nurse in a care home where there have been deaths due to Covid 19. She now has been infected…,,Brigadoon #PrayForBoris,my niece is working as a nurse in a care home where there have been deaths due to covid 19 she now has been infected…,niece working nurse care home deaths due covid 19 infected…,niece working nurse care home deaths due covid, Italia
09-04-20 2:11,"RT @Geeta_Mohan: Brazil uses #Ramayana reference while seeking help from India for supplies of #Hydroxychloroquine.

Extract of letter from…",,NTR Fan,brazil uses  ramayana reference while seeking help from india for supplies of  hydroxychloroquine  extract of letter from…,brazil uses ramayana reference seeking help india supplies hydroxychloroquine extract letter from…,brazil uses ramayana reference seeking help india supplies hydroxychloroquine extract letter, Italia
09-04-20 2:11,"RT @immivoice: Gokul is working hard at Facebook, keeping us connected with our loved ones during the pandemic.

He has to wait 100 years f…",United States,Arun,gokul is working hard at facebook  keeping us connected with our loved ones during the pandemic  he has to wait 100 years f…,gokul working hard facebook keeping us connected loved ones pandemic wait 100 years f…,gokul working hard facebook keeping us connected loved ones pandemic wait years,United States
09-04-20 2:11,RT @NBCOUT: NEW: Newly engaged gay cop is Florida police’s first coronavirus fatality https://t.co/UL7al5ni4a #COVID19,"Albuquerque, NM",Nisai Mekniti,new  newly engaged gay cop is florida police ’ s first coronavirus fatality https  tcoul7al5ni4a  covid19,new newly engaged gay cop florida police ’ first coronavirus fatality https tcoul7al5ni4a covid19,new newly engaged gay cop florida police first coronavirus fatality https, United States of America
09-04-20 2:11,"RT @AndyOstroy: @realDonaldTrump @narendramodi Ya know what else will ""not be forgotten?"" Your ignorance, gross incompetence and utter fail…",,Palace Intrigue,realdonaldtrump  narendramodi ya know what else will  not be forgotten   your ignorance  gross incompetence and utter fail…,realdonaldtrump narendramodi ya know else forgotten ignorance gross incompetence utter fail…,realdonaldtrump narendramodi ya know else forgotten ignorance gross incompetence utter, Italia
09-04-20 2:11,"RT @Vangie4Congress: Captain Brett Crozier, who was dismissed for demanding those who served under his command were protected from Coronavi…",USA,Renee Victoria: NO Trophy Animals!🐘Save the🐝🐝🐝,captain brett crozier  who was dismissed for demanding those who served under his command were protected from coronavi…,captain brett crozier dismissed demanding served command protected coronavi…,captain brett crozier dismissed demanding served command protected,United States
09-04-20 2:11,RT @euronews: This 103 year-old woman recovered from #COVID19. She has advice to those battling the disease. https://t.co/szxOq8iIrr,Delhi,sneha kothawade,this 103 yearold woman recovered from  covid19  she has advice to those battling the disease  https  tcoszxoq8iirr,103 yearold woman recovered covid19 advice battling disease https tcoszxoq8iirr,yearold woman recovered advice battling disease https, India
09-04-20 2:11,"RT @RaizaTrillOG: Due to covid-19, we are out of bald",USA,Tequila ♥,due to covid19  we are out of bald,due covid19 bald,due bald,United States
09-04-20 2:11,"RT @NNPrezNez: 62 new positive cases of COVID-19, three more deaths reported https://t.co/k2KLDz4P2j",,Dr. EFleming,62 new positive cases of covid19  three more deaths reported https  tcok2kldz4p2j,62 new positive cases covid19 three deaths reported https tcok2kldz4p2j,new positive cases three deaths reported https, Italia
09-04-20 2:11,"RT @B2Spirit_TT: 9 Most USEFUL #Coronavirus Resources🔴https://t.co/HTBeXCWpgw

#COVID19 #Health #Security #WorkingFromHome #Pandemic #Techn…",Internet,Cyber Security Feed,9 most useful  coronavirus resources🔴https  tcohtbexcwpgw  covid19  health  security  workingfromhome  pandemic  techn…,9 useful coronavirus resources🔴https tcohtbexcwpgw covid19 health security workingfromhome pandemic techn…,useful coronavirus tcohtbexcwpgw health security workingfromhome pandemic, Haiti
09-04-20 2:11,"RT @GoSummitPartner: DOD Warns of Cyber Risks as Employees Work From Home due to #COVID19 pandemic, reports @DataBreachToday: | #CyberSecur…",Matrix,CyberSecurityBot 🤖,dod warns of cyber risks as employees work from home due to  covid19 pandemic  reports  databreachtoday    cybersecur…,dod warns cyber risks employees work home due covid19 pandemic reports databreachtoday cybersecur…,dod warns cyber risks employees work home due pandemic reports databreachtoday, Deutschland
09-04-20 2:11,RT @BrooklynSpoke: This needs to be New York’s plan. Just think of how many people will chose to bike and walk to avoid transit as things s…,"iPhone: 40.730186,-73.987709",Now The Work Begins,this needs to be new york ’ s plan  just think of how many people will chose to bike and walk to avoid transit as things s…,needs new york ’ plan think many people chose bike walk avoid transit things s…,needs new york plan think many people chose bike walk avoid transit things,None
09-04-20 2:11,"RT @EmilyRoseFinn: #NEW: At today’s coronavirus task force press briefing, Pres. @realDonaldTrump acknowledges Holy Week traditions during…",Pennsylvania,J L Holt,new  at today ’ s coronavirus task force press briefing  pres   realdonaldtrump acknowledges holy week traditions during…,new today ’ coronavirus task force press briefing pres realdonaldtrump acknowledges holy week traditions during…,new today coronavirus task force press briefing pres realdonaldtrump acknowledges holy week traditions, United States of America
09-04-20 2:11,RT @tarauk: That this bears a whole article is telling on India’s bigotry. We test so little and much of what we test are TJ. Where’s the r…,Bengaluru,Ganesh Chetan,that this bears a whole article is telling on india ’ s bigotry  we test so little and much of what we test are tj  where ’ s the r…,bears whole article telling india ’ bigotry test little much test tj ’ r…,bears whole article telling india bigotry test little much test tj, India
09-04-20 2:11,RT @wusa9: NASA Langley employee dies after testing positive for COVID-19 https://t.co/yYBf9OsbSQ,"Wash,D.C.",Larry Calhoun,nasa langley employee dies after testing positive for covid19 https  tcoyybf9osbsq,nasa langley employee dies testing positive covid19 https tcoyybf9osbsq,nasa langley employee dies testing positive https, Bolivia
09-04-20 2:11,"RT @Laurie_Garrett: The world total of #COVID19 cases has surpassed 1 1/2 million, with the USA representing nearly a third of the total.…","Los Angeles, California, USA",Trina B,the world total of  covid19 cases has surpassed 1 12 million  with the usa representing nearly a third of the total…,world total covid19 cases surpassed 1 12 million usa representing nearly third total…,world total cases surpassed million usa representing nearly third, United States of America
09-04-20 2:11,RT @OliviaMesser: NEW: This CDC report shows how one man with mild symptoms—who didn’t even know he had COVID-19—unwittingly created a clus…,"Los Angeles, CA",Donnie the Walrus,new  this cdc report shows how one man with mild symptoms—who didn ’ t even know he had covid19—unwittingly created a clus…,new cdc report shows one man mild symptoms—who ’ even know covid19—unwittingly created clus…,new cdc report shows one man mild even know created, United States of America
09-04-20 2:11,RT @steve_hanke: #Modi's #LockdownWithoutPlan is hurting small #Business. They cannot afford to pay wages. Governments owe over $66B to sma…,"RSS Shakha, Nagpur",Bhakth_bro,modi s  lockdownwithoutplan is hurting small  business  they can not afford to pay wages  governments owe over  66b to sma…,modi lockdownwithoutplan hurting small business afford pay wages governments owe 66b sma…,modi lockdownwithoutplan hurting small business afford pay wages governments owe,None
09-04-20 2:11,RT @BabakTaghvaee1: Today Dictator #Khamenei &amp; supporters of #Iran's Islamic Regime celebrated birthday of Imam Mahdi. #Khamenei claims he…,,Info,today dictator  khamenei  amp  supporters of  iran s islamic regime celebrated birthday of imam mahdi   khamenei claims he…,today dictator khamenei amp supporters iran islamic regime celebrated birthday imam mahdi khamenei claims he…,today dictator khamenei amp supporters iran islamic regime celebrated birthday imam mahdi khamenei claims, Italia
09-04-20 2:11,RT @StarTribune: BREAKING: Gov. Tim Walz will extend a statewide stay-at-home order to May 4. https://t.co/p68zQBdJvW,"Hampton, MN",Hampton News,breaking  gov  tim walz will extend a statewide stayathome order to may 4 https  tcop68zqbdjvw,breaking gov tim walz extend statewide stayathome order may 4 https tcop68zqbdjvw,breaking gov tim walz extend statewide stayathome order may https, United States of America
09-04-20 2:11,RT @ColsRecParks: Need healthy food options during the COVID-19 emergency? We’re here to help! Our FREE Mobile Produce Market happens throu…,"Columbus, OH",Centennial,need healthy food options during the covid19 emergency  we ’ re here to help  our free mobile produce market happens throu…,need healthy food options covid19 emergency ’ help free mobile produce market happens throu…,need healthy food options emergency help free mobile produce market happens, United States of America
09-04-20 2:11,"RT @kosh_1: @saccadicmaniac @ThunderB An intriguing discussion.
https://t.co/FqUMbjPVeG

COVID-19: Attacks the 1-Beta Chain of #Hemoglobin…",,wyntre,saccadicmaniac  thunderb an intriguing discussion  https  tcofqumbjpveg covid19  attacks the 1beta chain of  hemoglobin…,saccadicmaniac thunderb intriguing discussion https tcofqumbjpveg covid19 attacks 1beta chain hemoglobin…,saccadicmaniac thunderb intriguing discussion https tcofqumbjpveg attacks chain, Italia
09-04-20 2:11,"RT @G88Gassi: Quite possibly one of the sweetest photos I’ve ever seen. This precious, elderly man coloring his wife’s hair for her...becau…",,Ciana Rita,quite possibly one of the sweetest photos i ’ ve ever seen  this precious  elderly man coloring his wife ’ s hair for her  becau…,quite possibly one sweetest photos ’ ever seen precious elderly man coloring wife ’ hair becau…,quite possibly one sweetest photos ever seen precious elderly man coloring wife hair, Italia
09-04-20 2:11,RT @zeusFanHouse: HUGE! MN Senator &amp; Dr Reveals #HHS Document Coached Him on How to #Overcount #COVID19 Cases — WITH COPY OF DOCUMENT (VIDE…,,Anne #StopYulin ⭐️⭐️⭐️,huge  mn senator  amp  dr reveals  hhs document coached him on how to  overcount  covid19 cases — with copy of document  vide…,huge mn senator amp dr reveals hhs document coached overcount covid19 cases — copy document vide…,huge mn senator amp dr reveals hhs document coached overcount cases copy document, Italia
09-04-20 2:11,RT @ChadBown: Ever wonder what the IMF’s Special Drawing Rights were all about? And whether they might help poor countries during the COVID…,"Washington, DC",Chad P. Bown,ever wonder what the imf ’ s special drawing rights were all about  and whether they might help poor countries during the covid…,ever wonder imf ’ special drawing rights whether might help poor countries covid…,ever wonder imf special drawing rights whether might help poor countries, United States of America
09-04-20 2:11,"RT @BlakandBlack: How much is the #RubyPrincess SNTFU going to end up costing the Aussie tax payers?

YET: The company behind the Ruby Prin…",Sydney Australia,💧Jill Sillar,how much is the  rubyprincess sntfu going to end up costing the aussie tax payers  yet  the company behind the ruby prin…,much rubyprincess sntfu going end costing aussie tax payers yet company behind ruby prin…,much rubyprincess sntfu going end costing aussie tax payers yet company behind ruby, Australia
09-04-20 2:11,"RT @MOFA_Taiwan: These days we've been busy packing face masks for countries hard hit by #Coronavirus. Allies &amp; friends, #Taiwan is coming!…",,小涵,these days we ve been busy packing face masks for countries hard hit by  coronavirus  allies  amp  friends   taiwan is coming  …,days busy packing face masks countries hard hit coronavirus allies amp friends taiwan coming …,days busy packing face masks countries hard hit coronavirus allies amp friends taiwan coming, Italia
09-04-20 2:11,RT @TostevinM: A coffin maker may give a better indication of the #coronavirus death toll in Indonesia than official figures: He used to ma…,曼谷,黄友镇,a coffin maker may give a better indication of the  coronavirus death toll in indonesia than official figures  he used to ma…,coffin maker may give better indication coronavirus death toll indonesia official figures used ma…,coffin maker may give better indication coronavirus death toll indonesia official figures used, ประเทศไทย
09-04-20 2:11,RT @sinsation202: I pray that COVID-19 don’t touch me or any of my family🙏🏾,,Mishelly💕,i pray that covid19 don ’ t touch me or any of my family🙏🏾,pray covid19 ’ touch family🙏🏾,pray touch, Italia
09-04-20 2:11,RT @Education4Libs: Bill Gates &amp; the Cabal thought they could push vaccinations &amp; microchip technology on us after releasing COVID-19 as a…,USA,gQ17 - Text TRUMP to 88022 ⭐️⭐️⭐️🇺🇸🇺🇸🇺🇸🇺🇸,bill gates  amp  the cabal thought they could push vaccinations  amp  microchip technology on us after releasing covid19 as a…,bill gates amp cabal thought could push vaccinations amp microchip technology us releasing covid19 a…,bill gates amp cabal thought could push vaccinations amp microchip technology us releasing,United States
09-04-20 2:11,"RT @PikaChulita: Yeah, please unfollow me if you think 5G is causing COVID-19, because I think you're an imbecile &amp; I don't wanna catch you…",XULA !!!!!!,Clarke Allen,yeah  please unfollow me if you think 5g is causing covid19  because i think you re an imbecile  amp  i do nt wan na catch you…,yeah please unfollow think 5g causing covid19 think imbecile amp nt wan na catch you…,yeah please unfollow think causing think imbecile amp nt wan na catch, Guatemala
09-04-20 2:11,"RT @LATiffani1: COVID-19 is bullshit

We are being manipulated and lied to",,Mewes,covid19 is bullshit we are being manipulated and lied to,covid19 bullshit manipulated lied,bullshit manipulated lied, Italia
09-04-20 2:11,RT @TomFitton: Left using #coronavirus as cover to steal election! Plus How @realDonaldTrump should teject the failed models and get the co…,Colorado 🇺🇸,Lu,left using  coronavirus as cover to steal election  plus how  realdonaldtrump should teject the failed models and get the co…,left using coronavirus cover steal election plus realdonaldtrump teject failed models get co…,left using coronavirus cover steal election plus realdonaldtrump teject failed models get, United States of America
09-04-20 2:11,"RT @JoyousCivic: I tell you what, the UK government are doing everything they can to help the nation through this appalling #COVID19 crisis…",United Kingdom,Gillian Milsom,i tell you what  the uk government are doing everything they can to help the nation through this appalling  covid19 crisis…,tell uk government everything help nation appalling covid19 crisis…,tell uk government everything help nation appalling,United Kingdom
09-04-20 2:11,"RT @ANI: World Health Organization made a statement on Jan 14 that there was no human-to-human transmission,while there was. They criticize…","Vaishali/Patna/Delhi, India",संदीप कुमार सिंह,world health organization made a statement on jan 14 that there was no humantohuman transmission  while there was  they criticize…,world health organization made statement jan 14 humantohuman transmission criticize…,world health organization made statement jan humantohuman transmission, India
